"State_Code","State_Name","District_ID","District_Name","School_ID","School_Name","Combined_Key","Juvenile_Justice_School","CS_Classes_Offered","CS_Hispanic_Male","CS_Hispanic_Female","CS_AmericanIndian_Male","CS_AmericanIndian_Female","CS_Asian_Male","CS_Asian_Female","CS_PacificIslander_Male","CS_PacificIslander_Female","CS_Black_Male","CS_Black_Female","CS_White_Male","CS_White_Female","CS_TwoOrMore_Male","CS_TwoOrMore_Female","CS_Total_Male","CS_Total_Female","CS_EnglishLearner_Male","CS_EnglishLearner_Female","CS_Disability_Male","CS_Disability_Female","SCHOOL_YEAR","VIRTUAL_TEXT","TitleI_Status","school_enrollment","Elementary","Middle","High","sex_female","sex_male","race_american_indian","race_asian","race_black","race_hispanic","race_pacific_islander","race_multiracial","race_white","sex_total","race_total","sex_female_prop","sex_male_prop","race_american_indian_prop","race_asian_prop","race_black_prop","race_hispanic_prop","race_pacific_islander_prop","race_multiracial_prop","race_white_prop","Total_CS_Enrolment","White_CS","Black_CS","Hispanic_CS","Asian_CS","AmericanIndian_CS","Multiracial_CS","Disability_CS","EnglishLearner_CS","Prop_Male_CS","Prop_Female_CS","Race_Total_CS","Race_Exceeds_Total","Total_Race_CS","Prop_Black_CS","Prop_White_CS","Prop_Hispanic_CS","Prop_Asian_CS","Prop_AmericanIndian_CS","Prop_Multiracial_CS","has_CCD_info"
"AK","Alaska","0200180","Anchorage School District",401,"Martin Luther King Jr. Technical High School","020018000401","No",6,1,0,1,0,0,0,0,0,0,0,3,0,1,0,6,0,1,0,0,0,"2020-2021","Supplemental Virtual","Schoolwide",550,NA,NA,1,84,136,10,12,2,36,0,26,134,220,220,0.381818181818182,0.618181818181818,0.0454545454545455,0.0545454545454545,0.00909090909090909,0.163636363636364,0,0.118181818181818,0.609090909090909,6,3,0,1,0,1,1,0,1,1,0,6,FALSE,6,0,0.5,0.166666666666667,0,0.166666666666667,0.166666666666667,TRUE
"KY","Kentucky","2100070","Allen County",8,"Allen County Primary Center","210007000008","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","Supplemental Virtual","Schoolwide",4685,1,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,1708,0,1796,NA,NA,NA,NA,NA,0.0489977728285078,NA,NA,0.951002227171492,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"WI","WISCONSIN","5504770","Maple Dale-Indian Hill School District",515,"Indian Hill School","550477000515","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Targeted",1095,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,0,290,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"CO","Colorado","0803360","School District No. 1 In The County Of Denver And State Of C",1865,"Kipp Sunshine Peak Academy","080336001865","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",2125,1,1,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,0,818,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"OH","OHIO","3910004","Anna Local",3682,"Anna Elementary School","391000403682","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Targeted",2450,1,NA,NA,472,508,0,6,4,16,0,40,914,980,980,0.481632653061224,0.518367346938776,0,0.00612244897959184,0.00408163265306122,0.0163265306122449,0,0.0408163265306122,0.93265306122449,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"OK","OKLAHOMA","4030240","TULSA",29789,"MCCLURE ES","403024029789","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","No virtual instruction","Schoolwide",2360,1,1,NA,NA,NA,NA,NA,424,192,NA,128,114,0,858,NA,NA,NA,NA,0.494172494172494,0.223776223776224,NA,0.149184149184149,0.132867132867133,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"FL","Florida","1200390","Miami-Dade",554,"Hialeah Middle School","120039000554","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Schoolwide",4140,NA,1,NA,834,822,0,2,180,1436,0,2,36,1656,1656,0.503623188405797,0.496376811594203,0,0.00120772946859903,0.108695652173913,0.867149758454106,0,0.00120772946859903,0.0217391304347826,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"OH","Ohio","3904463","Parma City",1505,"Normandy High School","390446301505","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-2021","No virtual instruction","Not_TitleI",6675,NA,1,1,1340,1330,0,68,118,196,0,52,2236,2670,2670,0.50187265917603,0.49812734082397,0,0.0254681647940075,0.0441947565543071,0.0734082397003745,0,0.0194756554307116,0.837453183520599,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"MD","MARYLAND","2400510","Prince George's County Public Schools",1110,"Mt Rainier Elementary","240051001110","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Supplemental Virtual","Schoolwide",1640,1,1,NA,NA,NA,NA,NA,180,396,NA,NA,NA,0,576,NA,NA,NA,NA,0.3125,0.6875,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"TX","TEXAS","4819830","FRENSHIP ISD",7068,"WESTWIND EL","481983007068","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Missing","Schoolwide",2840,1,NA,NA,564,572,2,36,70,710,2,24,292,1136,1136,0.496478873239437,0.503521126760563,0.00176056338028169,0.0316901408450704,0.0616197183098592,0.625,0.00176056338028169,0.0211267605633803,0.257042253521127,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"NC","NORTH CAROLINA","3702760","Macon County Schools",1142,"Nantahala School","370276001142","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-2022","Supplemental Virtual","Schoolwide",425,1,1,1,80,90,4,0,0,14,2,8,142,170,170,0.470588235294118,0.529411764705882,0.0235294117647059,0,0,0.0823529411764706,0.0117647058823529,0.0470588235294118,0.835294117647059,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
